Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Park, D.-H., Oh, S.-T., Lim, J.-H.","57204462115;57195471285;23389736200;","Development of a UV index sensor-based portable measurement device with the EUVB ratio of natural light",2019,"Sensors (Switzerland)","19","4", 754,"","",,,"10.3390/s19040754","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061860052&doi=10.3390%2fs19040754&partnerID=40&md5=b662c4bc50708805e86a1f5fac15dbd5",Article,"Final",Open Access,Scopus,2-s2.0-85061860052
"Sakkopoulos, E., Ioannou, Z.-M., Viennas, E.","8977391600;56458559500;36697557000;","Mobile personal information exchange over BLE",2019,"2018 9th International Conference on Information, Intelligence, Systems and Applications, IISA 2018",,, 8633599,"","",,,"10.1109/IISA.2018.8633599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062817347&doi=10.1109%2fIISA.2018.8633599&partnerID=40&md5=ad09ff37c37e453ef42bf6790e4d88c5",Conference Paper,"Final",,Scopus,2-s2.0-85062817347
"Janik, P., Pielka, M., Janik, M.A., Wróbel, Z.","7005577171;57205219044;35880638500;7004020495;","Respiratory monitoring system using Bluetooth Low Energy",2019,"Sensors and Actuators, A: Physical","286",,,"152","162",,,"10.1016/j.sna.2018.12.040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059177667&doi=10.1016%2fj.sna.2018.12.040&partnerID=40&md5=31ea46c6fc3e9aa2f15b5f42b6cf2ecf",Article,"Final",,Scopus,2-s2.0-85059177667
"Wang, W., He, S., Sun, L., Jiang, T., Zhang, Q.","57206570047;57204564483;55492942100;56492041300;56670485000;","Cross-Technology Communications for Heterogeneous IoT Devices Through Artificial Doppler Shifts",2019,"IEEE Transactions on Wireless Communications","18","2", 8558722,"796","806",,,"10.1109/TWC.2018.2883443","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058096781&doi=10.1109%2fTWC.2018.2883443&partnerID=40&md5=309f2e2cfbb966aad6444448fb17d62b",Article,"Final",,Scopus,2-s2.0-85058096781
"Baek, S.H., Cha, S.H.","57203356081;56555854500;","The trilateration-based BLE Beacon system for analyzing user-identified space usage of New Ways of Working offices",2019,"Building and Environment","149",,,"264","274",,,"10.1016/j.buildenv.2018.12.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058504228&doi=10.1016%2fj.buildenv.2018.12.030&partnerID=40&md5=1cd458b7bc6896e8c9913c8154bedd0a",Article,"Final",,Scopus,2-s2.0-85058504228
"Bellitti, P., Bodini, A., Borghetti, M., Filippini, M., Latronico, N., Sardini, E., Serpelloni, M., Tonello, S.","57197798402;57190984825;55798551700;24572823600;7006590487;6603600853;57205157856;57189487441;","A compact low-power wireless system for in vivo evaluation of heat and moisture exchanger performance",2019,"Measurement Science and Technology","30","2", 025701,"","",,,"10.1088/1361-6501/aaf406","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062526138&doi=10.1088%2f1361-6501%2faaf406&partnerID=40&md5=99aad46c0f3d43cd54627e5a9b8efa47",Article,"Final",,Scopus,2-s2.0-85062526138
"McConville, R., Byrne, D., Craddock, I., Piechocki, R., Pope, J., Santos-Rodriguez, R.","55617133900;26767486300;7003625330;7003301240;36992515000;27968154800;","A dataset for room level indoor localization using a smart home in a box",2019,"Data in Brief","22",,,"1044","1051",,,"10.1016/j.dib.2019.01.040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060496149&doi=10.1016%2fj.dib.2019.01.040&partnerID=40&md5=018c4cfb5f0e36af4d7829abf165f2ee",Article,"Final",Open Access,Scopus,2-s2.0-85060496149
"Azmi, M.S.M., Zabil, M.H.M., Lim, K.C., Azman, R.F.R., Adnan, N.A.N., Azman, M.A.S.M.","36994351200;57207762966;57207764051;57207771208;57207768300;57190661752;","UNITEN Smart Attendance System (UniSas) Using Beacons Sensor",2019,"2018 IEEE Conference on e-Learning, e-Management and e-Services, IC3e 2018",,, 8632631,"35","39",,,"10.1109/IC3e.2018.8632631","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062884688&doi=10.1109%2fIC3e.2018.8632631&partnerID=40&md5=f86137953908d7d686cf0d0af4e6e176",Conference Paper,"Final",,Scopus,2-s2.0-85062884688
"Afzal, M.A., He, D., Zhu, Z., Yang, Y.","57207731491;57202323838;57207735091;57204108369;","Performance Evaluation of Wi-Fi Bluetooth Low Energy Li-Fi Technology in Indoor Positioning",2019,"International Conference on Digital Signal Processing, DSP","2018-November",, 8631602,"","",,,"10.1109/ICDSP.2018.8631602","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062798131&doi=10.1109%2fICDSP.2018.8631602&partnerID=40&md5=07a30569d3e066d83b7b51b047ce8cc8",Conference Paper,"Final",,Scopus,2-s2.0-85062798131
"Hansen, E.A.J., Nielsen, M.H., Serup, D.E., Williams, R.J., Madsen, T.K., Abildgren, R.","57207730854;57203060543;57203064151;57203058893;9636824500;24733923900;","On Relay Selection Approaches in Bluetooth Mesh Networks",2019,"International Congress on Ultra Modern Telecommunications and Control Systems and Workshops","2018-November",, 8631214,"","",,,"10.1109/ICUMT.2018.8631214","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062790882&doi=10.1109%2fICUMT.2018.8631214&partnerID=40&md5=d2513b0d5a0d9db313d10904ed97e910",Conference Paper,"Final",,Scopus,2-s2.0-85062790882
"Ciabattoni, L., Foresi, G., Monteriù, A., Pepa, L., Pagnotta, D.P., Spalazzi, L., Verdini, F.","36924956000;56713049300;16638623100;56426954200;56712920900;55899283900;6505877233;","Real time indoor localization integrating a model based pedestrian dead reckoning on smartphone and BLE beacons",2019,"Journal of Ambient Intelligence and Humanized Computing","10","1",,"","",,2,"10.1007/s12652-017-0579-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044268670&doi=10.1007%2fs12652-017-0579-0&partnerID=40&md5=8c413cfe43f046c860648bb0dfcf3ddc",Article,"Final",,Scopus,2-s2.0-85044268670
"Chu, C.-T., Chang, C.-H., Yi, C.-H.","55332293600;57207468481;57207348312;","Fuzzy proximity capacitive gesture recognition system analysis and implement",2019,"Proceedings of Technical Papers - International Microsystems, Packaging, Assembly, and Circuits Technology Conference, IMPACT","2018-October",, 8625714,"263","266",,,"10.1109/IMPACT.2018.8625714","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062469456&doi=10.1109%2fIMPACT.2018.8625714&partnerID=40&md5=6fd547f309d138516785b214912d4fb7",Conference Paper,"Final",,Scopus,2-s2.0-85062469456
"Robles-Cordero, A.M., Zayas, W.J., Peker, Y.K.","57207569217;14062683600;56412577100;","Extracting the Security Features Implemented in a Bluetooth le Connection",2019,"Proceedings - 2018 IEEE International Conference on Big Data, Big Data 2018",,, 8622000,"2559","2563",,,"10.1109/BigData.2018.8622000","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062643786&doi=10.1109%2fBigData.2018.8622000&partnerID=40&md5=ef892947e8198cc65be7ea878fd1d860",Conference Paper,"Final",,Scopus,2-s2.0-85062643786
"Handojo, A., Lim, R., Octavia, T., Anggita, J.K.","36447305300;57141791400;57142512500;57207575529;","Museum Interactive Information Broadcasting Using Indoor Positioning System and Bluetooth Low Energy: A Pilot Project on Trowulan Museum Indonesia",2019,"TIMES-iCON 2018 - 3rd Technology Innovation Management and Engineering Science International Conference",,, 8621815,"","",,,"10.1109/TIMES-iCON.2018.8621815","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062641695&doi=10.1109%2fTIMES-iCON.2018.8621815&partnerID=40&md5=d990120bebd3a0b3246d8588edfe3a8e",Conference Paper,"Final",,Scopus,2-s2.0-85062641695
"Kumpdetch, N., Darakorn Na Ayuthaya, S., Kiattisin, S.","57207566955;57207573960;25655027300;","Model of Tracking and Identification System in Micro-Location Base",2019,"TIMES-iCON 2018 - 3rd Technology Innovation Management and Engineering Science International Conference",,, 8621802,"","",,,"10.1109/TIMES-iCON.2018.8621802","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062608114&doi=10.1109%2fTIMES-iCON.2018.8621802&partnerID=40&md5=ef00ec634c14db682c8059c1bd5878fc",Conference Paper,"Final",,Scopus,2-s2.0-85062608114
"Yang, W., Bi, S., Dong, M., Sun, B., Xie, C.","57203968041;57202658984;55724055800;57203973456;57202970167;","The solution of motion capture and analysis system based on acceleration sensor",2019,"2018 IEEE International Conference on Real-Time Computing and Robotics, RCAR 2018",,, 8621833,"135","139",,,"10.1109/RCAR.2018.8621833","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062536100&doi=10.1109%2fRCAR.2018.8621833&partnerID=40&md5=cf84dd3355207de3a156c822675cbcd8",Conference Paper,"Final",,Scopus,2-s2.0-85062536100
"Hernandez, H., Severo, L., Noije, W.V.","25641387000;36705336100;6508354520;","0.5V 1OMS/S 9-Bits Asynchronous SAR ADC for BLE Receivers in L80NM CMOS Technology",2019,"International System on Chip Conference","2018-September",, 8618510,"314","317",,,"10.1109/SOCC.2018.8618510","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062217069&doi=10.1109%2fSOCC.2018.8618510&partnerID=40&md5=4154f3ca1c51efe45d19eb34a201ceea",Conference Paper,"Final",,Scopus,2-s2.0-85062217069
"Gavrikov, P., Verboket, P.E., Ungan, T., Muller, M., Lai, M., Schindelhauer, C., Reindl, L.M., Wendt, T.","57207188954;57207192100;24777161600;57207205889;57207206441;55992798100;7006133006;24315310000;","Using Bluetooth Low Energy to trigger an ultra-low power FSK wake-up receiver",2019,"2018 25th IEEE International Conference on Electronics Circuits and Systems, ICECS 2018",,, 8618031,"781","784",,,"10.1109/ICECS.2018.8618031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062262408&doi=10.1109%2fICECS.2018.8618031&partnerID=40&md5=9685da6ddd5bf2bee05483de70239a2d",Conference Paper,"Final",,Scopus,2-s2.0-85062262408
"Yumantoro, G., Kristalina, P., Sudarsono, A.","57206888656;53264206800;45961439100;","Performance Evaluation of Indoor Characteristic based on Bluetooth Low Energy Communication System through Statistical Approach",2019,"2018 International Electronics Symposium on Engineering Technology and Applications, IES-ETA 2018 - Proceedings",,, 8615484,"189","195",,,"10.1109/ELECSYM.2018.8615484","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062096447&doi=10.1109%2fELECSYM.2018.8615484&partnerID=40&md5=7502346202dd93605020be61070de455",Conference Paper,"Final",,Scopus,2-s2.0-85062096447
"Dian, F.J., Yousefi, A., Lim, S.","57201696656;57201697879;57206901670;","A practical study on Bluetooth Low Energy (BLE) throughput",2019,"2018 IEEE 9th Annual Information Technology, Electronics and Mobile Communication Conference, IEMCON 2018",,, 8614763,"768","771",,,"10.1109/IEMCON.2018.8614763","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062057321&doi=10.1109%2fIEMCON.2018.8614763&partnerID=40&md5=62d928edd874b81794f59fb2a143482a",Conference Paper,"Final",,Scopus,2-s2.0-85062057321
"Sadowski, S., Spachos, P.","57202353892;36162123500;","Comparison of RSSI-Based Indoor Localization for Smart Buildings with Internet of Things",2019,"2018 IEEE 9th Annual Information Technology, Electronics and Mobile Communication Conference, IEMCON 2018",,, 8614863,"24","29",,,"10.1109/IEMCON.2018.8614863","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062069434&doi=10.1109%2fIEMCON.2018.8614863&partnerID=40&md5=6dcd9be6c06636a0b27a68b16c22254b",Conference Paper,"Final",,Scopus,2-s2.0-85062069434
"Li, J., Bhuiyan, M., Huang, X., McDonald, B., Farrell, T., Clancy, E.A.","57206902633;16306231200;57207798839;57206894503;8683100300;7003317128;","Reducing Electric Power Consumption When Transmitting ECG/EMG/EEG Using a Bluetooth Low Energy Microcontroller",2019,"2018 IEEE Signal Processing in Medicine and Biology Symposium, SPMB 2018 - Proceedings",,, 8615626,"","",,,"10.1109/SPMB.2018.8615626","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062086824&doi=10.1109%2fSPMB.2018.8615626&partnerID=40&md5=d4deb0fe177187e96a2feae0e681c056",Conference Paper,"Final",,Scopus,2-s2.0-85062086824
"Dian, F.J., Yousefi, A., Lim, S.","57201696656;57201697879;57206901670;","Time scheduling of central BLE for connection events",2019,"2018 IEEE 9th Annual Information Technology, Electronics and Mobile Communication Conference, IEMCON 2018",,, 8615024,"763","767",,,"10.1109/IEMCON.2018.8615024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062065884&doi=10.1109%2fIEMCON.2018.8615024&partnerID=40&md5=923d006387c7dc3dd86182a962cb60a1",Conference Paper,"Final",,Scopus,2-s2.0-85062065884
"Rotunno, R.E., Spachos, P., Gregori, S.","57193631844;36162123500;7003330906;","Power Management Scheme of a Photovoltaic System for Self-Powered Internet of Things",2019,"2018 IEEE 9th Annual Information Technology, Electronics and Mobile Communication Conference, IEMCON 2018",,, 8614983,"576","581",,,"10.1109/IEMCON.2018.8614983","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062080547&doi=10.1109%2fIEMCON.2018.8614983&partnerID=40&md5=b5484efb260b1ae8aa8ca9caf68b5027",Conference Paper,"Final",,Scopus,2-s2.0-85062080547
"Sato, F., Koshizen, T., Matsumoto, T., Kawase, H., Miyamoto, S., Torimoto, Y.","57202756439;6701578741;57195216728;57195218770;57195216725;57195215560;","Self-Driving System for Electric Wheelchair Using Smartphone to Estimate Travelable Areas",2019,"Proceedings - 2018 IEEE International Conference on Systems, Man, and Cybernetics, SMC 2018",,, 8616056,"298","304",,,"10.1109/SMC.2018.00061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062218900&doi=10.1109%2fSMC.2018.00061&partnerID=40&md5=c74b5c43b5b9bade7e6de3249374cba4",Conference Paper,"Final",,Scopus,2-s2.0-85062218900
"Dharmasiri, N.D.K.G., Vasanthapriyan, S.","57206904290;56609201200;","Approach to heart diseases diagnosis and monitoring through machine learning and iOS mobile application",2019,"18th International Conference on Advances in ICT for Emerging Regions, ICTer 2018 - Proceedings",,, 8615504,"407","412",,,"10.1109/ICTER.8615504","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062105613&doi=10.1109%2fICTER.8615504&partnerID=40&md5=3129cae45ecf9b59e241b58a01891534",Conference Paper,"Final",,Scopus,2-s2.0-85062105613
"Paul, P., Dutta, N., Biswas, B.A., Das, M., Biswas, S., Khalid, Z., Saha, H.N.","57192374452;57205431768;57192369738;57206902711;57206668207;57192371016;53867210100;","An Internet of Things (IoT) Based System to Analyze Real-time Collapsing Probability of Structures",2019,"2018 IEEE 9th Annual Information Technology, Electronics and Mobile Communication Conference, IEMCON 2018",,, 8614743,"1070","1075",,,"10.1109/IEMCON.2018.8614743","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062104194&doi=10.1109%2fIEMCON.2018.8614743&partnerID=40&md5=e67362e22016fdd0981ca4e28f710d60",Conference Paper,"Final",,Scopus,2-s2.0-85062104194
"Lee, K., Raghunathan, V., Raghunathan, A., Kim, Y.","57207102460;57191566003;7005407504;7410196546;","SYNCVIBE: Fast and Secure Device Pairing through Physical Vibration on Commodity Smartphones",2019,"Proceedings - 2018 IEEE 36th International Conference on Computer Design, ICCD 2018",,, 8615693,"234","241",,,"10.1109/ICCD.2018.00043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062241642&doi=10.1109%2fICCD.2018.00043&partnerID=40&md5=b8bf9471630fff83c99d003a7d924f63",Conference Paper,"Final",,Scopus,2-s2.0-85062241642
"Kolakowski, M.","57190338491;","Improving BLE Based Localization Accuracy Using Proximity Sensors",2019,"2018 26th Telecommunications Forum, TELFOR 2018 - Proceedings",,, 8611932,"","",,,"10.1109/TELFOR.2018.8611932","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062073694&doi=10.1109%2fTELFOR.2018.8611932&partnerID=40&md5=cea1442d6ded27f0099bb434ce1652c3",Conference Paper,"Final",,Scopus,2-s2.0-85062073694
"Ionascu, M.-E., Gruicin, I., Marcu, M.","57188695829;57201700756;14060424200;","Towards Wearable Air Quality Monitoring Systems - Initial Assessments on Newly Developed Sensors",2019,"2018 26th Telecommunications Forum, TELFOR 2018 - Proceedings",,, 8611832,"","",,,"10.1109/TELFOR.2018.8611832","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062081368&doi=10.1109%2fTELFOR.2018.8611832&partnerID=40&md5=e534fdd63345e840219f2b530ed79810",Conference Paper,"Final",,Scopus,2-s2.0-85062081368
"Oliveira, L., Rodrigues, J.J.P.C., Kozlov, S.A., Rabêlo, R.A.L., de Albuquerque, V.H.C.","57203428261;25930566300;16310288100;25638826400;56962603300;","MAC layer protocols for internet of things: A survey",2019,"Future Internet","11","1", 16,"","",,,"10.3390/fi11010016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060220704&doi=10.3390%2ffi11010016&partnerID=40&md5=d8fe2332edf66d08c8fb68a236571581",Review,"Final",Open Access,Scopus,2-s2.0-85060220704
"Naruke, K., Honma, N., Kikuchi, K., Tazawa, R., Sugawara, Y., Minamizawa, H., Miura, A.","57206723400;7005146839;57201915960;57193346550;57205210797;57189267383;57189259173;","Indoor Localization Method Using Pathloss-Distance Relationship with Handset Sensor Information",2019,"2018 IEEE Antennas and Propagation Society International Symposium and USNC/URSI National Radio Science Meeting, APSURSI 2018 - Proceedings",,, 8608741,"761","762",,,"10.1109/APUSNCURSINRSM.2018.8608741","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061928736&doi=10.1109%2fAPUSNCURSINRSM.2018.8608741&partnerID=40&md5=14bf1c87bd0f5a6be89a16e3c494612d",Conference Paper,"Final",,Scopus,2-s2.0-85061928736
"Hung, C.-W., Hsia, K.-H., Guan, Y.-M., Yu, S.-T.","22234022800;7005777255;57207306026;57207306851;","A Wireless Control Mobile Hoist System",2019,"2018 International Automatic Control Conference, CACS 2018",,, 8606774,"","",,,"10.1109/CACS.2018.8606774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062416436&doi=10.1109%2fCACS.2018.8606774&partnerID=40&md5=7c5c233bb13bfc9d9b4059bb70383b9c",Conference Paper,"Final",,Scopus,2-s2.0-85062416436
"Yun, Y., Lee, J., An, D., Kim, S., Kim, Y.","57195278784;57206730083;57206729424;57206726069;55644784900;","Performance Comparison of Indoor Positioning Schemes Exploiting Wi-Fi APs and BLE Beacons",2019,"NICS 2018 - Proceedings of 2018 5th NAFOSTED Conference on Information and Computer Science",,, 8606852,"124","127",,,"10.1109/NICS.2018.8606852","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061932685&doi=10.1109%2fNICS.2018.8606852&partnerID=40&md5=e0ad7c22577d520ab0bc28803fa34483",Conference Paper,"Final",,Scopus,2-s2.0-85061932685
"Dewantoro, P., Gandana, C.E., Zakaria, R.O.R.H., Irawan, Y.S.","57206720067;57206721459;57206727580;6507461266;","Development of Smartphone-based Non-Invasive Hemoglobin Measurement",2019,"ISESD 2018 - International Symposium on Electronics and Smart Devices: Smart Devices for Big Data Analytic and Machine Learning",,, 8605489,"","",,,"10.1109/ISESD.2018.8605489","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061905180&doi=10.1109%2fISESD.2018.8605489&partnerID=40&md5=6517fe162f5c1859fdceef2aab37d38a",Conference Paper,"Final",,Scopus,2-s2.0-85061905180
"Yamada, K., Sano, M., Higaki, M., Happoya, A.","15836126400;57200701487;7006905593;51963722900;","2.4 GHz Slot antenna integrated in small shielded module",2019,"2018 IEEE CPMT Symposium Japan, ICSJ 2018",,, 8602918,"171","172",,,"10.1109/ICSJ.2018.8602918","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061756058&doi=10.1109%2fICSJ.2018.8602918&partnerID=40&md5=502a8778d5fcd6196bac417cf3dfbaba",Conference Paper,"Final",,Scopus,2-s2.0-85061756058
"Saade, R., Salhab, K., Nakad, Z.","57206276533;57206247294;6507232287;","A Voice-Controlled Mobile IoT Guider System for Visually Impaired Students",2019,"2018 IEEE International Multidisciplinary Conference on Engineering Technology, IMCET 2018",,, 8603052,"","",,,"10.1109/IMCET.2018.8603052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061673866&doi=10.1109%2fIMCET.2018.8603052&partnerID=40&md5=d9509942a39d9145b0b9b886db1bed83",Conference Paper,"Final",,Scopus,2-s2.0-85061673866
"Lampe, B., Mau, T., Morehead, S., Turner-Bandele, N., Krishnan, S., Dezfouli, B.","57206657268;57206656977;57206670824;57206667697;57188565508;35758506000;","Halo: A Personal IoT Air Monitor",2019,"GHTC 2018 - IEEE Global Humanitarian Technology Conference, Proceedings",,, 8601899,"","",,,"10.1109/GHTC.2018.8601899","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061821226&doi=10.1109%2fGHTC.2018.8601899&partnerID=40&md5=30c2523bb73eb089eea0876733edd14e",Conference Paper,"Final",,Scopus,2-s2.0-85061821226
