Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,EID
"Sheikh S.M., Halima N.B.","Design, Implementation and Testing of a Cost Function Based Scheduling Mechanism for a Water Management System",2017,"Procedia Computer Science","110",,,"54","61",,,10.1016/j.procs.2017.06.114,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028654842&doi=10.1016%2fj.procs.2017.06.114&partnerID=40&md5=8e9cd3607d9a567fd9234213e1103e13","University of Botswana, Gaborone, Botswana; Taibah University, Madinah, Saudi Arabia","Sheikh, S.M., University of Botswana, Gaborone, Botswana; Halima, N.B., Taibah University, Madinah, Saudi Arabia","The IEEE 802.15.4 standard for low data rate and low power devices is currently in use by many Internet of Things (IoT) networks and control networks based on wireless sensor networks. One such application area is the water management systems for water supply and usage control. With the implementation of this standard in Contiki, no mechanism is present for control messages when other packets are being transmitted as well in the network. The gateway devices in these networks are usually exposed to more load in the network. During periods of high demand, packet dropping can occur at these nodes as well as other intermediate nodes that forward data. To address the high packet loss and congestion that takes place when the load level is high in a water telemetry management network, we propose a novel scheduling mechanism. This scheduling mechanism was implemented in the COOJA simulator using the Contiki operating system for wireless sensor nodes as an enhancement to carrier sense multiple access with collision avoidance (CSMA/CA). The results show that with the application of the proposed cost function (CF) scheduling strategy, packet loss is reduced and throughput is improved in multi-hop networks over the default scheduling mechanism. This mechanism can also be implemented in other rapid growing Internet of Things (IoT) networks and can improve performance when carrying high loads. © 2017 The Authors. Published by Elsevier B.V.","CSMA/CA; IEEE802.15.4; Water Management; Wireless Sensor Networks","Carrier communication; Carrier sense multiple access; Cost functions; Gateways (computer networks); Internet of things; Low power electronics; Packet loss; Packet networks; Scheduling; Sensor nodes; Standards; Ubiquitous computing; Water management; Water supply; Carrier sense multiple access with collision avoidances; Contiki operating systems; CSMA/CA; IEEE 802.15.4; IEEE 802.15.4 standards; Internet of Things (IOT); Scheduling strategies; Water management systems; Wireless sensor networks","Sheikh, S.M.; University of BotswanaBotswana; email: sajid.sheikh@mopipi.ub.bw","Yasar A.Shakshuki E.","Elsevier B.V.",18770509,,,,"English","Procedia Comput. Sci.",Conference Paper,Scopus,2-s2.0-85028654842
"Cho C., Choi J.-Y., Jeong J., Chung T.-M.","Performance Analysis of Inter-Domain Handoff Scheme Based on Virtual Layer in PMIPv6 Networks for IP-Based Internet of Things",2017,"PLoS ONE","12","1", e0170566,"","",,3,10.1371/journal.pone.0170566,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011103165&doi=10.1371%2fjournal.pone.0170566&partnerID=40&md5=007b2c965118dc2c4c508dccd0c38fa0","College of Information and Communications Engineering, Sungkyunkwan University, Suwon, Kyunggi-do, South Korea; Department of Human ICT Convergence, Sungkyunkwan University, Suwon, Kyunggi-do, South Korea","Cho, C., College of Information and Communications Engineering, Sungkyunkwan University, Suwon, Kyunggi-do, South Korea; Choi, J.-Y., College of Information and Communications Engineering, Sungkyunkwan University, Suwon, Kyunggi-do, South Korea; Jeong, J., Department of Human ICT Convergence, Sungkyunkwan University, Suwon, Kyunggi-do, South Korea; Chung, T.-M., College of Information and Communications Engineering, Sungkyunkwan University, Suwon, Kyunggi-do, South Korea","Lately, we see that Internet of things (IoT) is introduced in medical services for global connection among patients, sensors, and all nearby things. The principal purpose of this global connection is to provide context awareness for the purpose of bringing convenience to a patient's life and more effectively implementing clinical processes. In health care, monitoring of biosignals of a patient has to be continuously performed while the patient moves inside and outside the hospital. Also, to monitor the accurate location and biosignals of the patient, appropriate mobility management is necessary to maintain connection between the patient and the hospital network. In this paper, a binding update scheme on PMIPv6, which reduces signal traffic during location updates by Virtual LMA (VLMA) on the top original Local Mobility Anchor (LMA) Domain, is proposed to reduce the total cost. If a Mobile Node (MN) moves to a Mobile Access Gateway (MAG)-located boundary of an adjacent LMA domain, the MN changes itself into a virtual mode, and this movement will be assumed to be a part of the VLMA domain. In the proposed scheme, MAGs eliminate global binding updates for MNs between LMA domains and significantly reduce the packet loss and latency by eliminating the handoff between LMAs. In conclusion, the performance analysis results show that the proposed scheme improves performance significantly versus PMIPv6 and HMIPv6 in terms of the binding update rate per user and average handoff latency. © 2017 Cho et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,"awareness; chemical binding; clinical study; hospital; human; Internet; monitoring; cloud computing; computer network; devices; health care delivery; movement (physiology); physiologic monitoring; procedures; wireless communication; Cloud Computing; Computer Communication Networks; Delivery of Health Care; Humans; Internet; Monitoring, Physiologic; Movement; Wireless Technology",,,"Public Library of Science",19326203,,POLNC,28129355,"English","PLoS ONE",Article,Scopus,2-s2.0-85011103165
"Silva B.N., Khan M., Han K.","Integration of Big Data analytics embedded smart city architecture with RESTful web of things for efficient service provision and energy management",2017,"Future Generation Computer Systems",,,,"","",,,10.1016/j.future.2017.06.024,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026395983&doi=10.1016%2fj.future.2017.06.024&partnerID=40&md5=d6784057681700a2de79796e1a30f43e","School of Computer Science and Engineering, Kyungpook National University, Daegu, Republic of Korea; Department of Computer Science, Sarhad University of Science and information Technology, Peshawar, Pakistan","Silva, B.N., School of Computer Science and Engineering, Kyungpook National University, Daegu, Republic of Korea; Khan, M., Department of Computer Science, Sarhad University of Science and information Technology, Peshawar, Pakistan; Han, K., School of Computer Science and Engineering, Kyungpook National University, Daegu, Republic of Korea","Emergence of smart things has revolutionized the conventional internet into a connected network of things, maturing the concept of Internet of Things (IoT). With the evolution of IoT, many attempts were made to realize the notion of smart cities. However, demands for processing enormous amount of data and platform incompatibilities of connected smart things hindered the actual implementation of smart cities. Keeping it in view, we proposed a Big Data analytics embedded smart city architecture, which is further integrated with the web via a smart gateway. Integration with the web provides a universal communication platform to overcome the platform incompatibilities of smart things. We introduced Big Data analytics to enhance data processing speed. Further, we evaluated authentic datasets to determine the threshold values for intelligent decision-making and to present the performance improvement gained in data processing. Finally, we presented a representational state transfer (RESTful) web of things (WoT) integrated smart building architecture (smart home) to reveal the performance improvements of the proposed smart city architecture in terms of network performance and energy management of smart buildings. © 2017 Elsevier B.V.","Big Data analytics; RESTful architecture; Smart city; Smart home; Web of things","Automation; Big data; Data handling; Energy management; Gateways (computer networks); Information management; Intelligent buildings; Internet of things; Network architecture; Communication platforms; Connected networks; Data analytics; Intelligent decision making; Internet of Things (IOT); Representational state transfer; Service provisions; Smart homes; Smart city","Han, K.email: kjhan@knu.ac.kr",,"Elsevier B.V.",0167739X,,FGCSE,,"English","Future Gener Comput Syst",Article in Press,Scopus,2-s2.0-85026395983
"Pacheco L., Alchieri E., Solis P.","Architecture for privacy in cloud of things",2017,"ICEIS 2017 - Proceedings of the 19th International Conference on Enterprise Information Systems","2",,,"487","494",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022325591&partnerID=40&md5=6f01d0786ed9f25d61ddee2117f36b60","Department of Computer Science, University of Brasília, Brazil","Pacheco, L., Department of Computer Science, University of Brasília, Brazil; Alchieri, E., Department of Computer Science, University of Brasília, Brazil; Solis, P., Department of Computer Science, University of Brasília, Brazil","A large number of devices are connected to the internet through the Internet of Things (IoT) paradigm, resulting in a huge amount of produced data. Cloud computing is a computing paradigm currently adopted to process, store and provide access control to these data. This integration is called Cloud of Things - CoT and is useful in personal networks, like residential automation and health care, since it facilitates the access to the information. Although this integration brings benefits to the users, it introduces many security challenges since the information leaves the user control and is stored at the cloud providers. Particularly interesting, in order for these technologies to be adopted, it is important to provide protocols and mechanisms to preserve the users privacy when storing their data in the cloud. In this context, this paper proposes an architecture for privacy in Cloud of Things, which allows the users to fully control the access to the data generated by the devices of their IoT networks and stored in the cloud. The proposed architecture enables a fine grained control over data, since the privacy protocols and controls are executed at the IoT devices instead of at the network border by a gateway, which also could represent a single point of failure or a component that could impair the security properties of the system once it is compromised by a successful attack. ©2017 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved.","Cloud computing; Cloud of things; Internet of things; Privacy; Security","Access control; Cloud computing; Computer architecture; Data privacy; Gateways (computer networks); Information systems; Internet of things; Network architecture; Network protocols; Computing paradigm; Fine-grained control; Internet of thing (IOT); Personal networks; Proposed architectures; Security; Security challenges; Security properties; Network security",,"Filipe J.Filipe J.Smialek M.Hammoudi S.Camp O.","SciTePress",,9789897582486,,,"English","ICEIS - Proc. Int. Conf. Enterp. Inf. Syst.",Conference Paper,Scopus,2-s2.0-85022325591
"Ko H., Lee J., Pack S.","Consistency-guaranteed and energy efficient sleep scheduling algorithm with data aggregation for IoT",2017,"European Wireless 2017 - 23rd European Wireless Conference",,, 8011288,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030723743&partnerID=40&md5=ac69ff93f5663fd96fd55bb3dfca4d77","School of Electrical Engineering, Korea University, South Korea","Ko, H., School of Electrical Engineering, Korea University, South Korea; Lee, J., School of Electrical Engineering, Korea University, South Korea; Pack, S., School of Electrical Engineering, Korea University, South Korea","In data acquisition (DAQ)-based services of Internet of things (IoT), IoT devices sense data and transmit data to the application server through IoT gateway (GW). Due to the energy limitation of IoT devices, it is an important issue to increase energy efficiency of IoT devices. Meanwhile, when data from a huge number of IoT devices are individually transmitted, the data traffic volume can be significant. To resolve these issues, IoT devices and IoT GW can use sleep mode and data aggregation, respectively. However, when the IoT devices are in sleep mode for long time and/or data are aggregated in IoT GW for long time without any transmissions, the data can be inconsistent. In this paper, we propose a consistency-guaranteed and energy efficient sleep scheduling algorithm (CG-E2S2) with data aggregation. In CG-E2S2, the optimal sleep duration and the number of aggregated data are jointly determined by means of Markov decision process (MDP) with the consideration of energy efficiency of IoT devices, data traffic in networks, and data consistency. Evaluation results demonstrate that CG-E2S2 with the optimal policy outperforms the comparison schemes in terms of energy efficiency, data traffic volume, and data consistency. © VDE VERLAG GMBH · Berlin · Offenbach.","Data aggregation; Data consistency; Energy; Internet of things (IoT2D07122; Markov decision process (MDP); Sleep","Data acquisition; Energy efficiency; Gateways (computer networks); Markov processes; Scheduling algorithms; Sleep research; Data aggregation; Data consistency; Energy; Markov Decision Processes; Sleep; Internet of things",,,"Institute of Electrical and Electronics Engineers Inc.",,9783800744268,,,"English","European Wireless - Euro. Wirel. Conf.",Conference Paper,Scopus,2-s2.0-85030723743
"Yelamarthi K., Aman M.S., Abdelgawad A.","An application-driven modular IoT architecture",2017,"Wireless Communications and Mobile Computing","2017",, 1350929,"","",,1,10.1155/2017/1350929,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019979710&doi=10.1155%2f2017%2f1350929&partnerID=40&md5=dcebd125b02f6f7a48ecae0ccf2dc1ea","College of Science and Engineering, Central Michigan University, Mount Pleasant, MI, United States","Yelamarthi, K., College of Science and Engineering, Central Michigan University, Mount Pleasant, MI, United States; Aman, M.S., College of Science and Engineering, Central Michigan University, Mount Pleasant, MI, United States; Abdelgawad, A., College of Science and Engineering, Central Michigan University, Mount Pleasant, MI, United States","Building upon the advancements in the recent years, a new paradigm in technology has emerged in Internet of Things (IoT). IoT has allowed for communication with the surrounding environment through a multitude of sensors and actuators, yet operating on limited energy. Several researchers have presented IoT architectures for respective applications, often challenged by requiring major updates for adoption to a different application. Further, this comes with several uncertainties such as type of computational device required at the edge, mode of wireless connectivity required, methods to obtain power efficiency, and not ensuring rapid deployment. This paper starts with providing a horizontal overview of each layer in IoT architecture and options for different applications. Then it presents a broad application-driven modular architecture, which can be easily customized for rapid deployment. This paper presents the diverse hardware used in several IoT layers such as sensors, embedded processors, wireless transceivers, internet gateway, and application management cloud server. Later, this paper presents implementation results for diverse applications including healthcare, structural health monitoring, agriculture, and indoor tour guide systems. It is hoped that this research will assist the potential user to easily choose IoT hardware and software as it pertains to their respective needs. © 2017 Kumar Yelamarthi et al.",,"Computer hardware; Gateways (computer networks); Hardware; Radio transceivers; Structural health monitoring; Application management; Computational devices; Hardware and software; Internet of Things (IOT); Modular architectures; Sensors and actuators; Surrounding environment; Wireless connectivities; Internet of things","Yelamarthi, K.; College of Science and Engineering, Central Michigan UniversityUnited States; email: yelam1k@cmich.edu",,"Hindawi Limited",15308669,,,,"English","Wireless Commun. Mobile Comput.",Article,Scopus,2-s2.0-85019979710
"Tiwari V., Keskar A., Shivaprakash N.C.","A reconfigurable IoT architecture with energy efficient event-based data traffic reduction scheme",2017,"International Journal of Online Engineering","13","2",,"34","52",,,10.3991/ijoe.v13i02.6460,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014005999&doi=10.3991%2fijoe.v13i02.6460&partnerID=40&md5=7367a40cee409afdaee40f745eb9a11c","Visvesvaraya National Institute of Technology, Nagpur, India; Indian Institute of Science, Bangalore, India","Tiwari, V., Visvesvaraya National Institute of Technology, Nagpur, India; Keskar, A., Visvesvaraya National Institute of Technology, Nagpur, India; Shivaprakash, N.C., Indian Institute of Science, Bangalore, India","Designing an Internet of Things (IoT) enabled environment requires integration of various things/devices. Integrating these devices require a generalized approach as these devices can have different communication protocols. In this paper, we have proposed generalized nodes for connecting various devices. These nodes are capable of creating a scalable local wireless network that connects to the cloud through a network gateway. The nodes also support over the air programming to re-configure the network from the cloud. As number of devices connected to the cloud increases, the network traffic also increases. In order to reduce the network traffic we have used different data transfer schemes for the network. We have also proposed an event-based data transfer scheme for situations where there is low probability of change in sensor value. The experimental results shows that the event-based scheme reduces the data traffic by up to 48% under practical conditions without any loss of information compared to priority based data transfer. We have also shown that the proposed scheme is more reliable for data transfer in a large network with a success rate of 99.5% measured over 200 minutes for 1201 data packets.","Data transfer scheme; Internet of Things; Network architecture; Wireless network","Data transfer; Distributed computer systems; Energy efficiency; Gateways (computer networks); Internet of things; Network architecture; Reconfigurable architectures; Wireless networks; Energy efficient; Generalized nodes; Internet of Things (IOT); Iot architectures; Low probability; Network traffic; Priority-based; Transfer scheme; Data reduction",,,"Kassel University Press GmbH",18681646,,,,"English","Int. J. Online Eng.",Article,Scopus,2-s2.0-85014005999
"Gia T.N., Ali M., Dhaou I.B., Rahmani A.M., Westerlund T., Liljeberg P., Tenhunen H.","IoT-based continuous glucose monitoring system: A feasibility study",2017,"Procedia Computer Science","109",,,"327","334",,1,10.1016/j.procs.2017.05.359,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021817906&doi=10.1016%2fj.procs.2017.05.359&partnerID=40&md5=f668732cdee327c85fc1da1b20ddc83e","Department of Future Technologies, University of Turku, Turku, Finland; Department of Electrical Engineering, Alfaisal University, Riyadh, Saudi Arabia; Department of Electrical Engineering, Qassim University, Buraydah, Saudi Arabia; Department of Computer Science, University of California Irvine, United States; Institute of Computer Technology, TU Wien, Austria","Gia, T.N., Department of Future Technologies, University of Turku, Turku, Finland; Ali, M., Department of Electrical Engineering, Alfaisal University, Riyadh, Saudi Arabia; Dhaou, I.B., Department of Electrical Engineering, Qassim University, Buraydah, Saudi Arabia; Rahmani, A.M., Department of Computer Science, University of California Irvine, United States, Institute of Computer Technology, TU Wien, Austria; Westerlund, T., Department of Future Technologies, University of Turku, Turku, Finland; Liljeberg, P., Department of Future Technologies, University of Turku, Turku, Finland; Tenhunen, H., Department of Future Technologies, University of Turku, Turku, Finland","Health monitoring systems based on Internet-of-things (IoT) have been recently introduced to improve the quality of health care services. However, the number of advanced IoT-based continuous glucose monitoring systems is small and the existing systems have several limitations. In this paper we study feasibility of invasive and continuous glucose monitoring (CGM) system utilizing IoT based approach. We designed an IoT-based system architecture from a sensor device to a back-end system for presenting real-time glucose, body temperature and contextual data (i.e. environmental temperature) in graphical and human-readable forms to end-users such as patients and doctors. In addition, nRF communication protocol is customized for suiting to the glucose monitoring system and achieving a high level of energy efficiency. Furthermore, we investigate energy consumption of the sensor device and design energy harvesting units for the device. Finally, the work provides many advanced services at a gateway level such as a push notification service for notifying patient and doctors in case of abnormal situations (i.e. too low or too high glucose level). The results show that our system is able to achieve continuous glucose monitoring remotely in real-time. In addition, the results reveal that a high level of energy efficiency can be achieved by applying the customized nRF component, the power management unit and the energy harvesting unit altogether in the sensor device. © 2017 The Authors. Published by Elsevier B.V.","energy efficient; energy harvesting; glucose monitoring; health monitoring; Internet-of-Things; power management; wearable","Energy conservation; Energy efficiency; Energy harvesting; Energy management; Energy utilization; Gateways (computer networks); Glucose; Glucose sensors; Internet of things; Power management; Continuous glucose monitoring; Continuous glucosemonitoring (CGM); Energy efficient; Environmental temperature; Glucose monitoring; Glucose monitoring system; Health monitoring; wearable; Monitoring","Gia, T.N.; Department of Future Technologies, University of TurkuFinland; email: tunggi@utu.fi","Shakshuki E.","Elsevier B.V.",18770509,,,,"English","Procedia Comput. Sci.",Conference Paper,Scopus,2-s2.0-85021817906
"Pham C.","Building low-cost gateways and devices for open LoRa IoT test-beds",2017,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST","177",,,"70","80",,2,10.1007/978-3-319-49580-4_7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006078190&doi=10.1007%2f978-3-319-49580-4_7&partnerID=40&md5=7d007c47a66be6d7f6d658ba5d29e7c1","LIUPPA, University of Pau, Pau, France","Pham, C., LIUPPA, University of Pau, Pau, France","While benefits of IoT are clearly stated the deployment of such devices in a large scale is still held back by technical challenges such as short communication distances. Recent long-range radio technologies such as Semtech’s LoRa are promising to deploy Low Power WAN at a very low-cost for a large variety of applications. The paper describes our proposed low-cost and open IoT gateway&devices for both robust and simple deployment.Quick appropriation&customization by third parties for testbed deployment is of utmost importance and the whole proposed architecture addresses this issue from the very beginning of the design process. © ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2017.","Internet of thing test-bed; LoRa; Low-cost test-beds","Costs; Equipment testing; Testbeds; Communication distance; Design process; LoRa; Low-cost test; Proposed architectures; Radio technologies; Technical challenges; Third parties; Internet of things","Pham, C.; LIUPPA, University of PauFrance; email: Congduc.Pham@univ-pau.fr","Wei G.Lin X.Lorenz P.Guo S.Xiang Y.","Springer Verlag",18678211,9783319495798,,,"English","Lect. Notes Inst. Comput. Sci. Soc. Informatics Telecommun. Eng.",Conference Paper,Scopus,2-s2.0-85006078190
"Tsai C.-W.","SEIRA: An effective algorithm for IoT resource allocation problem",2017,"Computer Communications",,,,"","",,,10.1016/j.comcom.2017.10.006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033488445&doi=10.1016%2fj.comcom.2017.10.006&partnerID=40&md5=822df873ca3c0c6f27b421f237c771f0","Department of Computer Science and Engineering, National Chung Hsing University, Taichung, Taiwan, ROC; Taiwan Information Security Center at NCHU (TWISC@NCHU), Taichung, Taiwan, ROC","Tsai, C.-W., Department of Computer Science and Engineering, National Chung Hsing University, Taichung, Taiwan, ROC, Taiwan Information Security Center at NCHU (TWISC@NCHU), Taichung, Taiwan, ROC","To provide a high performance internet of things (IoT) system by integrating cloud computing, data mining, and other intelligent methods to all the people has been a promising trend in recent years. However, the performance of such a system is restricted by several factors, namely, various user requirements, various types of appliances, enormous need of communications, limited network bandwidth, and limited computation power. Considering these restrictions, IoT resource allocation problem (IRAP) is one of the most critical problems because a good solution to this problem will be very useful for enhancing the performance of such a system. That is why an effective algorithm will be presented in this paper for solving the IoT resource allocation problem of the internet of things. The concepts of data clustering and metaheuristic are employed for the proposed algorithm to allocate the large-scale devices and gateways of IoT to reduce the total communication cost between them. The simulation results show that the proposed algorithm is significantly better than the other resource allocation algorithms compared in this paper in terms of the total data communication costs. © 2017 Elsevier B.V.","Internet of Things; Metaheuristic algorithm; Resource allocation problem","Clustering algorithms; Data mining; Distributed computer systems; Resource allocation; Communication cost; Data-communication; Effective algorithms; Intelligent method; Internet of Things (IOT); Meta heuristic algorithm; Resource allocation algorithms; Resource allocation problem; Internet of things","Tsai, C.-W.",,"Elsevier B.V.",01403664,,COCOD,,"English","Comput Commun",Article in Press,Scopus,2-s2.0-85033488445
"Chemodanov D., Esposito F., Sukhov A., Calyam P., Trinh H., Oraibi Z.","AGRA: AI-augmented geographic routing approach for IoT-based incident-supporting applications",2017,"Future Generation Computer Systems",,,,"","",,,10.1016/j.future.2017.08.009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028541738&doi=10.1016%2fj.future.2017.08.009&partnerID=40&md5=e1ba6dee2eb7653cef08d3721069e88b","University of Missouri-Columbia, USA; Saint Louis University, USA; Samara National Research University, Russia","Chemodanov, D., University of Missouri-Columbia, USA; Esposito, F., Saint Louis University, USA; Sukhov, A., Samara National Research University, Russia; Calyam, P., University of Missouri-Columbia, USA; Trinh, H., University of Missouri-Columbia, USA; Oraibi, Z., University of Missouri-Columbia, USA","Applications that cater to the needs of disaster incident response generate large amount of data and demand large computational resource access. Such datasets are usually collected in real-time at the incident scenes using different Internet of Things (IoT) devices. Hierarchical clouds, i.e., core and edge clouds, can help these applications' real-time data orchestration challenges as well as with their IoT operations scalability, reliability and stability by overcoming infrastructure limitations at the ad-hoc wireless network edge. Routing is a crucial infrastructure management orchestration mechanism for such systems. Current geographic routing or greedy forwarding approaches designed for early wireless ad-hoc networks lack efficient solutions for disaster incident-supporting applications, given the high-speed and low-latency data delivery that edge cloud gateways impose. In this paper, we present a novel Artificial Intelligent (AI)-augmented geographic routing approach, that relies on an area knowledge obtained from the satellite imagery (available at the edge cloud) by applying deep learning. In particular, we propose a stateless greedy forwarding that uses such an environment learning to proactively avoid the local minimum problem by diverting traffic with an algorithm that emulates electrostatic repulsive forces. In our theoretical analysis, we show that our Greedy Forwarding achieves in the worst case a 3.291 path stretch approximation bound with respect to the shortest path, without assuming presence of symmetrical links or unit disk graphs. We evaluate our approach with both numerical and event-driven simulations, and we establish the practicality of our approach in a real incident-supporting hierarchical cloud deployment to demonstrate improvement of application level throughput due to a reduced path stretch under severe node failures and high mobility challenges of disaster response scenarios. © 2017 Elsevier B.V.","Deep learning; Electrostatics; Geographic routing; Incident-supporting applications; IoT; Local minimum avoidance","Ad hoc networks; Deep learning; Disasters; Electrostatics; Emergency services; Graph theory; Satellite imagery; Wireless ad hoc networks; Ad hoc wireless networks; Electrostatic repulsive forces; Event-driven simulations; Geographic routing; Infrastructure managements; Internet of Things (IOT); Local minimum avoidances; Reliability and stability; Internet of things","Chemodanov, D.email: dycbt4@mail.missouri.edu",,"Elsevier B.V.",0167739X,,FGCSE,,"English","Future Gener Comput Syst",Article in Press,Scopus,2-s2.0-85028541738
"Glória A., Cercas F., Souto N.","Design and implementation of an IoT gateway to create smart environments",2017,"Procedia Computer Science","109",,,"568","575",,,10.1016/j.procs.2017.05.343,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021790486&doi=10.1016%2fj.procs.2017.05.343&partnerID=40&md5=001024fb3247084169a6d1a984744388","ISCTE-IUL, Av. das Forças Armadas, Lisbon, Portugal; Instituto de Telecomunicações, Av. Rovisco Pais, 1, Lisbon, Portugal","Glória, A., ISCTE-IUL, Av. das Forças Armadas, Lisbon, Portugal; Cercas, F., ISCTE-IUL, Av. das Forças Armadas, Lisbon, Portugal, Instituto de Telecomunicações, Av. Rovisco Pais, 1, Lisbon, Portugal; Souto, N., ISCTE-IUL, Av. das Forças Armadas, Lisbon, Portugal, Instituto de Telecomunicações, Av. Rovisco Pais, 1, Lisbon, Portugal","The paper presents a proposal of a practical implementation for an IoT gateway dedicated to real-time monitoring and remote control of a swimming pool. Based on a Raspberry Pi, the gateway allows bidirectional communication and data exchange between the user and the sensor network implemented on the environment using an Arduino. © 2017 The Authors. Published by Elsevier B.V.","Internet of Things; Sensor Networks; Smart Environments","Electronic data interchange; Energy conservation; Internet of things; Sensor networks; Bi-directional communication; Design and implementations; Real time monitoring; Smart environment; Gateways (computer networks)","Glória, A.; ISCTE-IUL, Av. das Forças Armadas, Portugal; email: afxga@iscte-iul.pt","Shakshuki E.","Elsevier B.V.",18770509,,,,"English","Procedia Comput. Sci.",Conference Paper,Scopus,2-s2.0-85021790486
"Ohe N., Dosaka S., Kitagami S., Kaneko Y., Inoue M., Nakajima T., Shiotsuki T., Koizumi H.","A proposal of a method for prototyping M2M/ IoT systems based on ideas and its applications",2017,"IEEJ Transactions on Electronics, Information and Systems","137","10",,"1402","1413",,,10.1541/ieejeiss.137.1402,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030178150&doi=10.1541%2fieejeiss.137.1402&partnerID=40&md5=ecc3fa80f8237a675fe50a18bd819363","Melco Techno Yokohama, 325, Kamimachiya, Kamakura, Kanagawa, Japan; Global Information and Telecommunication Institute, Waseda University, 1-3-10, Nishi-Waseda, Shinjuku-ku Tokyo, Japan; Information Technology R and D Center, Mitsubishi Electric Corporation, 5-1-1, Ohuna, Kamakura, Kanagawa, Japan; Department of Electronic Information Systems, Shibaura Institute of Technology, 307, Fukasaku, Minume-ku, Saitama-shi, Saitama, Japan; Department of Engineering, Shibaura Institute of Technology, 3-7-5, Toyosu, Koto-ku, Tokyo, Japan; Department of Robotics and Mechatronics, Tokyo Denki University, 5, Senju-asahi-cho, Adachi-ku, Tokyo, Japan; NPO Organization M2M Study Group 388, Fujisawa, Fujisawa-shi, Kanagawa, Japan","Ohe, N., Melco Techno Yokohama, 325, Kamimachiya, Kamakura, Kanagawa, Japan; Dosaka, S., Melco Techno Yokohama, 325, Kamimachiya, Kamakura, Kanagawa, Japan; Kitagami, S., Global Information and Telecommunication Institute, Waseda University, 1-3-10, Nishi-Waseda, Shinjuku-ku Tokyo, Japan; Kaneko, Y., Information Technology R and D Center, Mitsubishi Electric Corporation, 5-1-1, Ohuna, Kamakura, Kanagawa, Japan; Inoue, M., Department of Electronic Information Systems, Shibaura Institute of Technology, 307, Fukasaku, Minume-ku, Saitama-shi, Saitama, Japan; Nakajima, T., Department of Engineering, Shibaura Institute of Technology, 3-7-5, Toyosu, Koto-ku, Tokyo, Japan; Shiotsuki, T., Department of Robotics and Mechatronics, Tokyo Denki University, 5, Senju-asahi-cho, Adachi-ku, Tokyo, Japan; Koizumi, H., NPO Organization M2M Study Group 388, Fujisawa, Fujisawa-shi, Kanagawa, Japan","M2M (Machine to Machine) / IoT (Internet of Things) systems are expected to be used in various application areas such as social infrastructure, industrial automation, and health and medical care. Prototyping of M2M/IoT systems is an effective way to embody the idea on the systems and to examine their feasibility. This paper describes a method for prototyping of M2M/IoT systems, which consists of how to embody the idea of them, how to select their components and how to build them using a framework, so that people can easily construct M2M/IoT systems to solve their problems. This paper also describes three different applications of this method, which proves its effectiveness. © 2017 The Institute of Electrical Engineers of Japan.","Cloud service; Gateway; IoT device; M2M/IoT system; Prototype; Sensor","Electrical engineering; Gateways (computer networks); Sensors; Cloud services; Industrial automation; IoT device; ITS applications; M2M/IoT system; Machine to machines; Prototype; Social infrastructure; Internet of things","Ohe, N.; Melco Techno Yokohama, 325, Kamimachiya, Japan; email: ooe.nobuhiro@mind.co.jp",,"Institute of Electrical Engineers of Japan",03854221,,,,"Japanese","IEEJ Trans. Electron. Inf. Syst.",Article,Scopus,2-s2.0-85030178150
